userId	geneSymbol	geneName	entrezgene	score	gLink
Ebf1	Ebf1	early B cell factor 1	13591	-0.475784343	https://www.ncbi.nlm.nih.gov/gene/?term=13591
Ecm1	Ecm1	extracellular matrix protein 1	13601	1.042430645	https://www.ncbi.nlm.nih.gov/gene/?term=13601
Ecscr	Ecscr	endothelial cell surface expressed chemotaxis and apoptosis regulator	68545	1.561618505	https://www.ncbi.nlm.nih.gov/gene/?term=68545
Edf1	Edf1	endothelial differentiation-related factor 1	59022	0.253767274	https://www.ncbi.nlm.nih.gov/gene/?term=59022
Edn1	Edn1	endothelin 1	13614	-0.557978642	https://www.ncbi.nlm.nih.gov/gene/?term=13614
Edn3	Edn3	endothelin 3	13616	-0.677989793	https://www.ncbi.nlm.nih.gov/gene/?term=13616
Eef1a1	Eef1a1	eukaryotic translation elongation factor 1 alpha 1	13627	0.382673268	https://www.ncbi.nlm.nih.gov/gene/?term=13627
Eef1g	Eef1g	eukaryotic translation elongation factor 1 gamma	67160	0.3093755	https://www.ncbi.nlm.nih.gov/gene/?term=67160
Efna1	Efna1	ephrin A1	13636	-0.554987761	https://www.ncbi.nlm.nih.gov/gene/?term=13636
Egfl7	Egfl7	EGF-like domain 7	353156	-0.399550166	https://www.ncbi.nlm.nih.gov/gene/?term=353156
Egr1	Egr1	early growth response 1	13653	0.27304503	https://www.ncbi.nlm.nih.gov/gene/?term=13653
Ehd1	Ehd1	EH-domain containing 1	13660	0.509926058	https://www.ncbi.nlm.nih.gov/gene/?term=13660
Ehd2	Ehd2	EH-domain containing 2	259300	0.630166966	https://www.ncbi.nlm.nih.gov/gene/?term=259300
Ehd4	Ehd4	EH-domain containing 4	98878	0.333079753	https://www.ncbi.nlm.nih.gov/gene/?term=98878
Eif1	Eif1	eukaryotic translation initiation factor 1	20918	-0.298091615	https://www.ncbi.nlm.nih.gov/gene/?term=20918
Eif1a	Eif1a	eukaryotic translation initiation factor 1A	13664	0.408065832	https://www.ncbi.nlm.nih.gov/gene/?term=13664
Eif3f	Eif3f	eukaryotic translation initiation factor 3, subunit F	66085	-0.296469287	https://www.ncbi.nlm.nih.gov/gene/?term=66085
Eif3i	Eif3i	eukaryotic translation initiation factor 3, subunit I	54709	0.359874019	https://www.ncbi.nlm.nih.gov/gene/?term=54709
Eif3l	Eif3l	eukaryotic translation initiation factor 3, subunit L	223691	0.277560534	https://www.ncbi.nlm.nih.gov/gene/?term=223691
Eif4a1	Eif4a1	eukaryotic translation initiation factor 4A1	13681	0.390072066	https://www.ncbi.nlm.nih.gov/gene/?term=13681
Eif4a2	Eif4a2	eukaryotic translation initiation factor 4A2	13682	-0.56429403	https://www.ncbi.nlm.nih.gov/gene/?term=13682
Eif4ebp1	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	13685	0.302808566	https://www.ncbi.nlm.nih.gov/gene/?term=13685
Eif5a	Eif5a	eukaryotic translation initiation factor 5A	276770	0.520940481	https://www.ncbi.nlm.nih.gov/gene/?term=276770
Elk3	Elk3	ELK3, member of ETS oncogene family	13713	0.279732885	https://www.ncbi.nlm.nih.gov/gene/?term=13713
Elob	Elob	elongin B	67673	0.379445582	https://www.ncbi.nlm.nih.gov/gene/?term=67673
Emcn	Emcn	endomucin	59308	-0.359615805	https://www.ncbi.nlm.nih.gov/gene/?term=59308
Emp1	Emp1	epithelial membrane protein 1	13730	1.139055865	https://www.ncbi.nlm.nih.gov/gene/?term=13730
Emp2	Emp2	epithelial membrane protein 2	13731	-0.702815885	https://www.ncbi.nlm.nih.gov/gene/?term=13731
Emp3	Emp3	epithelial membrane protein 3	13732	0.635216386	https://www.ncbi.nlm.nih.gov/gene/?term=13732
Eng	Eng	endoglin	13805	-0.627291105	https://www.ncbi.nlm.nih.gov/gene/?term=13805
Enpp2	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	18606	0.455306957	https://www.ncbi.nlm.nih.gov/gene/?term=18606
Entpd1	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	12495	0.405061522	https://www.ncbi.nlm.nih.gov/gene/?term=12495
Epas1	Epas1	endothelial PAS domain protein 1	13819	-0.517655054	https://www.ncbi.nlm.nih.gov/gene/?term=13819
Ephx1	Ephx1	epoxide hydrolase 1, microsomal	13849	-0.716693012	https://www.ncbi.nlm.nih.gov/gene/?term=13849
Epn2	Epn2	epsin 2	13855	-0.469401061	https://www.ncbi.nlm.nih.gov/gene/?term=13855
Ercc1	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	13870	0.908350298	https://www.ncbi.nlm.nih.gov/gene/?term=13870
Erh	Erh	ERH mRNA splicing and mitosis factor	13877	0.318620273	https://www.ncbi.nlm.nih.gov/gene/?term=13877
Esd	Esd	esterase D/formylglutathione hydrolase	13885	0.368695124	https://www.ncbi.nlm.nih.gov/gene/?term=13885
Esyt1	Esyt1	extended synaptotagmin-like protein 1	23943	0.386435457	https://www.ncbi.nlm.nih.gov/gene/?term=23943
Esyt2	Esyt2	extended synaptotagmin-like protein 2	52635	-0.825641778	https://www.ncbi.nlm.nih.gov/gene/?term=52635
Etf1	Etf1	eukaryotic translation termination factor 1	225363	0.28901659	https://www.ncbi.nlm.nih.gov/gene/?term=225363
Etfb	Etfb	electron transferring flavoprotein, beta polypeptide	110826	0.354496097	https://www.ncbi.nlm.nih.gov/gene/?term=110826
Ets2	Ets2	E26 avian leukemia oncogene 2, 3' domain	23872	-0.491505959	https://www.ncbi.nlm.nih.gov/gene/?term=23872
Extl3	Extl3	exostoses (multiple)-like 3	54616	-0.50720629800000006	https://www.ncbi.nlm.nih.gov/gene/?term=54616
Ezh1	Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	14055	-0.487413653	https://www.ncbi.nlm.nih.gov/gene/?term=14055
Fbl	Fbl	fibrillarin	14113	0.270938341	https://www.ncbi.nlm.nih.gov/gene/?term=14113
Fbp1	Fbp1	fructose bisphosphatase 1	14121	0.712671453	https://www.ncbi.nlm.nih.gov/gene/?term=14121
Fbxo6	Fbxo6	F-box protein 6	50762	0.294588245	https://www.ncbi.nlm.nih.gov/gene/?term=50762
Fcgrt	Fcgrt	Fc receptor, IgG, alpha chain transporter	14132	-0.368439067	https://www.ncbi.nlm.nih.gov/gene/?term=14132
Fcho2	Fcho2	FCH domain only 2	218503	-0.693267153	https://www.ncbi.nlm.nih.gov/gene/?term=218503
Fermt2	Fermt2	fermitin family member 2	218952	-0.365088449	https://www.ncbi.nlm.nih.gov/gene/?term=218952
Fgd5	Fgd5	FYVE, RhoGEF and PH domain containing 5	232237	-0.409309405	https://www.ncbi.nlm.nih.gov/gene/?term=232237
Fis1	Fis1	fission, mitochondrial 1	66437	0.297648964	https://www.ncbi.nlm.nih.gov/gene/?term=66437
Fkbp1a	Fkbp1a	FK506 binding protein 1a	14225	1.615782183	https://www.ncbi.nlm.nih.gov/gene/?term=14225
Fkbp2	Fkbp2	FK506 binding protein 2	14227	0.745382359	https://www.ncbi.nlm.nih.gov/gene/?term=14227
Fkbp4	Fkbp4	FK506 binding protein 4	14228	-0.52767646	https://www.ncbi.nlm.nih.gov/gene/?term=14228
Flna	Flna	filamin, alpha	192176	0.428148122	https://www.ncbi.nlm.nih.gov/gene/?term=192176
Flnb	Flnb	filamin, beta	286940	0.60637612	https://www.ncbi.nlm.nih.gov/gene/?term=286940
Flt1	Flt1	FMS-like tyrosine kinase 1	14254	-0.859173114	https://www.ncbi.nlm.nih.gov/gene/?term=14254
Fmnl2	Fmnl2	formin-like 2	71409	0.290671502	https://www.ncbi.nlm.nih.gov/gene/?term=71409
Fmo2	Fmo2	flavin containing monooxygenase 2	55990	-0.562564814	https://www.ncbi.nlm.nih.gov/gene/?term=55990
Fn1	Fn1	fibronectin 1	14268	0.282078568	https://www.ncbi.nlm.nih.gov/gene/?term=14268
Fnbp1l	Fnbp1l	formin binding protein 1-like	214459	-0.537078005	https://www.ncbi.nlm.nih.gov/gene/?term=214459
Fos	Fos	FBJ osteosarcoma oncogene	14281	0.331005836	https://www.ncbi.nlm.nih.gov/gene/?term=14281
Fosb	Fosb	FBJ osteosarcoma oncogene B	14282	0.251240128	https://www.ncbi.nlm.nih.gov/gene/?term=14282
Foxp1	Foxp1	forkhead box P1	108655	-0.614243071	https://www.ncbi.nlm.nih.gov/gene/?term=108655
Foxq1	Foxq1	forkhead box Q1	15220	-0.603658509	https://www.ncbi.nlm.nih.gov/gene/?term=15220
Fry	Fry	FRY microtubule binding protein	320365	-0.554871113	https://www.ncbi.nlm.nih.gov/gene/?term=320365
Fscn1	Fscn1	fascin actin-bundling protein 1	14086	0.511858505	https://www.ncbi.nlm.nih.gov/gene/?term=14086
Fth1	Fth1	ferritin heavy polypeptide 1	14319	1.396831012	https://www.ncbi.nlm.nih.gov/gene/?term=14319
Fuca1	Fuca1	fucosidase, alpha-L- 1, tissue	71665	0.256797354	https://www.ncbi.nlm.nih.gov/gene/?term=71665
Fundc2	Fundc2	FUN14 domain containing 2	67391	0.261872286	https://www.ncbi.nlm.nih.gov/gene/?term=67391
Fut8	Fut8	fucosyltransferase 8	53618	-0.873873535	https://www.ncbi.nlm.nih.gov/gene/?term=53618
Fxyd5	Fxyd5	FXYD domain-containing ion transport regulator 5	18301	1.032636931	https://www.ncbi.nlm.nih.gov/gene/?term=18301
Fxyd7	Fxyd7	FXYD domain-containing ion transport regulator 7	57780	0.381347546	https://www.ncbi.nlm.nih.gov/gene/?term=57780
Gabarapl2	Gabarapl2	gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2	93739	-0.278722824	https://www.ncbi.nlm.nih.gov/gene/?term=93739
Gadd45g	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	23882	-0.76449634	https://www.ncbi.nlm.nih.gov/gene/?term=23882
Galnt1	Galnt1	polypeptide N-acetylgalactosaminyltransferase 1	14423	0.676218192	https://www.ncbi.nlm.nih.gov/gene/?term=14423
Gapdh	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	14433	1.234236442	https://www.ncbi.nlm.nih.gov/gene/?term=14433
Gas6	Gas6	growth arrest specific 6	14456	-0.92440959599999994	https://www.ncbi.nlm.nih.gov/gene/?term=14456
Gata2	Gata2	GATA binding protein 2	14461	-0.46900912299999997	https://www.ncbi.nlm.nih.gov/gene/?term=14461
Gatm	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	67092	-0.772756695	https://www.ncbi.nlm.nih.gov/gene/?term=67092
Gbp2	Gbp2	guanylate binding protein 2	14469	0.723950567	https://www.ncbi.nlm.nih.gov/gene/?term=14469
Gbp3	Gbp3	guanylate binding protein 3	55932	0.364484217	https://www.ncbi.nlm.nih.gov/gene/?term=55932
Gbp4	Gbp4	guanylate binding protein 4	17472	1.046844978	https://www.ncbi.nlm.nih.gov/gene/?term=17472
Gbp5	Gbp5	guanylate binding protein 5	229898	0.268921435	https://www.ncbi.nlm.nih.gov/gene/?term=229898
Gbp9	Gbp9	guanylate-binding protein 9	236573	0.344978997	https://www.ncbi.nlm.nih.gov/gene/?term=236573
Gcsh	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	68133	0.269508606	https://www.ncbi.nlm.nih.gov/gene/?term=68133
Gde1	Gde1	glycerophosphodiester phosphodiesterase 1	56209	0.288839358	https://www.ncbi.nlm.nih.gov/gene/?term=56209
Gdi1	Gdi1	guanosine diphosphate (GDP) dissociation inhibitor 1	14567	-0.456296291	https://www.ncbi.nlm.nih.gov/gene/?term=14567
Gimap4	Gimap4	GTPase, IMAP family member 4	107526	0.340782419	https://www.ncbi.nlm.nih.gov/gene/?term=107526
Gimap5	Gimap5	GTPase, IMAP family member 5	317757	0.858721209	https://www.ncbi.nlm.nih.gov/gene/?term=317757
Git2	Git2	GIT ArfGAP 2	26431	-0.510609826	https://www.ncbi.nlm.nih.gov/gene/?term=26431
Glipr2	Glipr2	GLI pathogenesis-related 2	384009	0.70805866	https://www.ncbi.nlm.nih.gov/gene/?term=384009
Glrx	Glrx	glutaredoxin	93692	0.288797961	https://www.ncbi.nlm.nih.gov/gene/?term=93692
Glud1	Glud1	glutamate dehydrogenase 1	14661	0.412173907	https://www.ncbi.nlm.nih.gov/gene/?term=14661
Gm10076	Gm10076	NA	100126819	0.469988714	https://www.ncbi.nlm.nih.gov/gene/?term=100126819
Gm9844	Gm9844	NA	100043712	0.324810138	https://www.ncbi.nlm.nih.gov/gene/?term=100043712
Gm9946	Gm9946	predicted gene 9946	330403	-0.53573776	https://www.ncbi.nlm.nih.gov/gene/?term=330403
Gmpr	Gmpr	guanosine monophosphate reductase	66355	0.273952122	https://www.ncbi.nlm.nih.gov/gene/?term=66355
Gnai2	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	14678	0.765495734	https://www.ncbi.nlm.nih.gov/gene/?term=14678
Gnas	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	14683	-0.30093277	https://www.ncbi.nlm.nih.gov/gene/?term=14683
Gnb1	Gnb1	guanine nucleotide binding protein (G protein), beta 1	14688	0.314538674	https://www.ncbi.nlm.nih.gov/gene/?term=14688
Gnb4	Gnb4	guanine nucleotide binding protein (G protein), beta 4	14696	-0.455321779	https://www.ncbi.nlm.nih.gov/gene/?term=14696
Gngt2	Gngt2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	14710	1.40453489	https://www.ncbi.nlm.nih.gov/gene/?term=14710
Golim4	Golim4	golgi integral membrane protein 4	73124	-1.083048628	https://www.ncbi.nlm.nih.gov/gene/?term=73124
Gpcpd1	Gpcpd1	glycerophosphocholine phosphodiesterase 1	74182	-0.936578765	https://www.ncbi.nlm.nih.gov/gene/?term=74182
Gpr4	Gpr4	G protein-coupled receptor 4	319197	-0.369923378	https://www.ncbi.nlm.nih.gov/gene/?term=319197
Gprc5b	Gprc5b	G protein-coupled receptor, family C, group 5, member B	64297	0.300034926	https://www.ncbi.nlm.nih.gov/gene/?term=64297
Gpx1	Gpx1	glutathione peroxidase 1	14775	0.924141323	https://www.ncbi.nlm.nih.gov/gene/?term=14775
Gpx4	Gpx4	glutathione peroxidase 4	625249	-0.319290705	https://www.ncbi.nlm.nih.gov/gene/?term=625249
Grb14	Grb14	growth factor receptor bound protein 14	50915	-0.357294573	https://www.ncbi.nlm.nih.gov/gene/?term=50915
Grcc10	Grcc10	gene rich cluster, C10 gene	14790	0.35791632	https://www.ncbi.nlm.nih.gov/gene/?term=14790
Grn	Grn	granulin	14824	0.537323098	https://www.ncbi.nlm.nih.gov/gene/?term=14824
Gspt1	Gspt1	G1 to S phase transition 1	14852	0.265367011	https://www.ncbi.nlm.nih.gov/gene/?term=14852
Gstm1	Gstm1	glutathione S-transferase, mu 1	14862	-0.678356048	https://www.ncbi.nlm.nih.gov/gene/?term=14862
Gstp1	Gstp1	glutathione S-transferase, pi 1	14870	-0.290409809	https://www.ncbi.nlm.nih.gov/gene/?term=14870
Gtf2i	Gtf2i	general transcription factor II I	14886	-0.509914123	https://www.ncbi.nlm.nih.gov/gene/?term=14886
Gulp1	Gulp1	GULP, engulfment adaptor PTB domain containing 1	70676	-0.490352295	https://www.ncbi.nlm.nih.gov/gene/?term=70676
Gusb	Gusb	glucuronidase, beta	110006	0.329794129	https://www.ncbi.nlm.nih.gov/gene/?term=110006
H13	H13	histocompatibility 13	14950	0.571884494	https://www.ncbi.nlm.nih.gov/gene/?term=14950
H2-D1	H2-D1	histocompatibility 2, D region locus 1	14964	1.902819899	https://www.ncbi.nlm.nih.gov/gene/?term=14964
H2-K1	H2-K1	histocompatibility 2, K1, K region	14972	2.394851677	https://www.ncbi.nlm.nih.gov/gene/?term=14972
H2-Q4	H2-Q4	histocompatibility 2, Q region locus 4	15015	1.223378993	https://www.ncbi.nlm.nih.gov/gene/?term=15015
H2-Q6	H2-Q6	histocompatibility 2, Q region locus 6	110557	0.459563804	https://www.ncbi.nlm.nih.gov/gene/?term=110557
H2-Q7	H2-Q7	histocompatibility 2, Q region locus 7	15018	0.700915245	https://www.ncbi.nlm.nih.gov/gene/?term=15018
H2-T22	H2-T22	histocompatibility 2, T region locus 22	15039	0.830793873	https://www.ncbi.nlm.nih.gov/gene/?term=15039
H2-T23	H2-T23	histocompatibility 2, T region locus 23	15040	0.365310683	https://www.ncbi.nlm.nih.gov/gene/?term=15040
H2afj	H2afj	H2A histone family, member J	232440	0.438581936	https://www.ncbi.nlm.nih.gov/gene/?term=232440
Hbb-bs	Hbb-bs	hemoglobin, beta adult s chain	100503605	-0.286660435	https://www.ncbi.nlm.nih.gov/gene/?term=100503605
Hcfc1r1	Hcfc1r1	host cell factor C1 regulator 1 (XPO1-dependent)	353502	-0.511771438	https://www.ncbi.nlm.nih.gov/gene/?term=353502
Hdgf	Hdgf	hepatoma-derived growth factor	15191	0.25141156	https://www.ncbi.nlm.nih.gov/gene/?term=15191
Herpud1	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	64209	-0.44089325	https://www.ncbi.nlm.nih.gov/gene/?term=64209
Hes1	Hes1	hes family bHLH transcription factor 1	15205	-0.688824699	https://www.ncbi.nlm.nih.gov/gene/?term=15205
Hey1	Hey1	hairy/enhancer-of-split related with YRPW motif 1	15213	-0.9370015	https://www.ncbi.nlm.nih.gov/gene/?term=15213
Hif1a	Hif1a	hypoxia inducible factor 1, alpha subunit	15251	0.57100543	https://www.ncbi.nlm.nih.gov/gene/?term=15251
Hilpda	Hilpda	hypoxia inducible lipid droplet associated	69573	0.423656245	https://www.ncbi.nlm.nih.gov/gene/?term=69573
Hip1	Hip1	huntingtin interacting protein 1	215114	-0.661035279	https://www.ncbi.nlm.nih.gov/gene/?term=215114
Hist1h1c	Hist1h1c	histone cluster 1, H1c	50708	-0.540692823	https://www.ncbi.nlm.nih.gov/gene/?term=50708
Hist1h1e	Hist1h1e	histone cluster 1, H1e	50709	-0.772079249	https://www.ncbi.nlm.nih.gov/gene/?term=50709
Hist1h2ap	Hist1h2ap	histone cluster 1, H2ap	319171	-0.435512255	https://www.ncbi.nlm.nih.gov/gene/?term=319171
Hist1h4d	Hist1h4d	histone cluster 1, H4d	319156	-0.39818149	https://www.ncbi.nlm.nih.gov/gene/?term=319156
Hmbs	Hmbs	hydroxymethylbilane synthase	15288	0.362676379	https://www.ncbi.nlm.nih.gov/gene/?term=15288
Hmcn1	Hmcn1	hemicentin 1	545370	-0.98097054	https://www.ncbi.nlm.nih.gov/gene/?term=545370
Hmga1	Hmga1	high mobility group AT-hook 1	15361	0.781064146	https://www.ncbi.nlm.nih.gov/gene/?term=15361
Hmgcs2	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	15360	0.424388754	https://www.ncbi.nlm.nih.gov/gene/?term=15360
Hmgn1	Hmgn1	high mobility group nucleosomal binding domain 1	15312	0.481628907	https://www.ncbi.nlm.nih.gov/gene/?term=15312
Hmgn2	Hmgn2	high mobility group nucleosomal binding domain 2	15331	0.681893895	https://www.ncbi.nlm.nih.gov/gene/?term=15331
Hnrnpa1	Hnrnpa1	heterogeneous nuclear ribonucleoprotein A1	15382	0.56194602	https://www.ncbi.nlm.nih.gov/gene/?term=15382
Hnrnpa3	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3	229279	0.709311529	https://www.ncbi.nlm.nih.gov/gene/?term=229279
Hnrnpab	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	15384	0.325423561	https://www.ncbi.nlm.nih.gov/gene/?term=15384
Hnrnph3	Hnrnph3	heterogeneous nuclear ribonucleoprotein H3	432467	-0.415456844	https://www.ncbi.nlm.nih.gov/gene/?term=432467
Hnrnpl	Hnrnpl	heterogeneous nuclear ribonucleoprotein L	15388	0.250819509	https://www.ncbi.nlm.nih.gov/gene/?term=15388
Hrct1	Hrct1	histidine rich carboxyl terminus 1	100039781	0.507622563	https://www.ncbi.nlm.nih.gov/gene/?term=100039781
Hs3st1	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	15476	-0.596688269	https://www.ncbi.nlm.nih.gov/gene/?term=15476
Hsd17b12	Hsd17b12	hydroxysteroid (17-beta) dehydrogenase 12	56348	0.313392884	https://www.ncbi.nlm.nih.gov/gene/?term=56348
Hsp90b1	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	22027	0.498587144	https://www.ncbi.nlm.nih.gov/gene/?term=22027
Hspa5	Hspa5	heat shock protein 5	14828	0.744449716	https://www.ncbi.nlm.nih.gov/gene/?term=14828
Hspb1	Hspb1	heat shock protein 1	15507	-0.271431218	https://www.ncbi.nlm.nih.gov/gene/?term=15507
Hspg2	Hspg2	perlecan (heparan sulfate proteoglycan 2)	15530	0.579751838	https://www.ncbi.nlm.nih.gov/gene/?term=15530
Htra1	Htra1	HtrA serine peptidase 1	56213	-0.360995403	https://www.ncbi.nlm.nih.gov/gene/?term=56213
Hyal2	Hyal2	hyaluronoglucosaminidase 2	15587	0.363914728	https://www.ncbi.nlm.nih.gov/gene/?term=15587
Ica1l	Ica1l	islet cell autoantigen 1-like	70375	0.311206595	https://www.ncbi.nlm.nih.gov/gene/?term=70375
Icam1	Icam1	intercellular adhesion molecule 1	15894	1.988987956	https://www.ncbi.nlm.nih.gov/gene/?term=15894
Id1	Id1	inhibitor of DNA binding 1	15901	-0.556531251	https://www.ncbi.nlm.nih.gov/gene/?term=15901
Id3	Id3	inhibitor of DNA binding 3	15903	-1.073775901	https://www.ncbi.nlm.nih.gov/gene/?term=15903
Ier2	Ier2	immediate early response 2	15936	-0.482035427	https://www.ncbi.nlm.nih.gov/gene/?term=15936
Ier3	Ier3	immediate early response 3	15937	0.921941007	https://www.ncbi.nlm.nih.gov/gene/?term=15937
Ifi47	Ifi47	interferon gamma inducible protein 47	15953	0.313215472	https://www.ncbi.nlm.nih.gov/gene/?term=15953
Ifitm1	Ifitm1	interferon induced transmembrane protein 1	68713	0.672201647	https://www.ncbi.nlm.nih.gov/gene/?term=68713
Ifitm2	Ifitm2	interferon induced transmembrane protein 2	80876	1.1519633	https://www.ncbi.nlm.nih.gov/gene/?term=80876
Ifitm3	Ifitm3	interferon induced transmembrane protein 3	66141	1.317539934	https://www.ncbi.nlm.nih.gov/gene/?term=66141
Ifnar1	Ifnar1	interferon (alpha and beta) receptor 1	15975	-0.466079058	https://www.ncbi.nlm.nih.gov/gene/?term=15975
Ifngr1	Ifngr1	interferon gamma receptor 1	15979	0.301562015	https://www.ncbi.nlm.nih.gov/gene/?term=15979
Ifrd1	Ifrd1	interferon-related developmental regulator 1	15982	0.288199359	https://www.ncbi.nlm.nih.gov/gene/?term=15982
Igf1r	Igf1r	insulin-like growth factor I receptor	16001	-1.146157324	https://www.ncbi.nlm.nih.gov/gene/?term=16001
Igfbp4	Igfbp4	insulin-like growth factor binding protein 4	16010	1.759449309	https://www.ncbi.nlm.nih.gov/gene/?term=16010
Igfbp7	Igfbp7	insulin-like growth factor binding protein 7	29817	1.818211551	https://www.ncbi.nlm.nih.gov/gene/?term=29817
Il10rb	Il10rb	interleukin 10 receptor, beta	16155	-0.644104102	https://www.ncbi.nlm.nih.gov/gene/?term=16155
Il18bp	Il18bp	interleukin 18 binding protein	16068	0.255758594	https://www.ncbi.nlm.nih.gov/gene/?term=16068
Il2rg	Il2rg	interleukin 2 receptor, gamma chain	16186	1.406048571	https://www.ncbi.nlm.nih.gov/gene/?term=16186
Il4ra	Il4ra	interleukin 4 receptor, alpha	16190	0.299727991	https://www.ncbi.nlm.nih.gov/gene/?term=16190
Ino80c	Ino80c	INO80 complex subunit C	225280	0.384108329	https://www.ncbi.nlm.nih.gov/gene/?term=225280
Inpp5f	Inpp5f	inositol polyphosphate-5-phosphatase F	101490	-0.454152387	https://www.ncbi.nlm.nih.gov/gene/?term=101490
Insig1	Insig1	insulin induced gene 1	231070	-0.373418282	https://www.ncbi.nlm.nih.gov/gene/?term=231070
Irf2bp2	Irf2bp2	interferon regulatory factor 2 binding protein 2	270110	-0.433730752	https://www.ncbi.nlm.nih.gov/gene/?term=270110
Irf2bpl	Irf2bpl	interferon regulatory factor 2 binding protein-like	238330	-0.750584129	https://www.ncbi.nlm.nih.gov/gene/?term=238330
Irf7	Irf7	interferon regulatory factor 7	54123	0.308792034	https://www.ncbi.nlm.nih.gov/gene/?term=54123
Irgm1	Irgm1	immunity-related GTPase family M member 1	15944	0.42298428	https://www.ncbi.nlm.nih.gov/gene/?term=15944
Isyna1	Isyna1	myo-inositol 1-phosphate synthase A1	71780	-0.571466466	https://www.ncbi.nlm.nih.gov/gene/?term=71780
Itga5	Itga5	integrin alpha 5 (fibronectin receptor alpha)	16402	0.278964386	https://www.ncbi.nlm.nih.gov/gene/?term=16402
Itgb1	Itgb1	integrin beta 1 (fibronectin receptor beta)	16412	0.365668978	https://www.ncbi.nlm.nih.gov/gene/?term=16412
Itih5	Itih5	inter-alpha (globulin) inhibitor H5	209378	-1.151045807	https://www.ncbi.nlm.nih.gov/gene/?term=209378
Itm2a	Itm2a	integral membrane protein 2A	16431	-1.052450147	https://www.ncbi.nlm.nih.gov/gene/?term=16431
Itm2b	Itm2b	integral membrane protein 2B	16432	-0.320634835	https://www.ncbi.nlm.nih.gov/gene/?term=16432
Itm2c	Itm2c	integral membrane protein 2C	64294	1.145308522	https://www.ncbi.nlm.nih.gov/gene/?term=64294
Ivns1abp	Ivns1abp	influenza virus NS1A binding protein	117198	-0.638857851	https://www.ncbi.nlm.nih.gov/gene/?term=117198
Jak3	Jak3	Janus kinase 3	16453	0.453928348	https://www.ncbi.nlm.nih.gov/gene/?term=16453
Jun	Jun	jun proto-oncogene	16476	-0.55784571	https://www.ncbi.nlm.nih.gov/gene/?term=16476
Jup	Jup	junction plakoglobin	16480	-0.492566719	https://www.ncbi.nlm.nih.gov/gene/?term=16480
Kank3	Kank3	KN motif and ankyrin repeat domains 3	80880	-0.451872424	https://www.ncbi.nlm.nih.gov/gene/?term=80880
Kctd17	Kctd17	potassium channel tetramerisation domain containing 17	72844	0.478876088	https://www.ncbi.nlm.nih.gov/gene/?term=72844
Kdr	Kdr	kinase insert domain protein receptor	16542	-0.791716678	https://www.ncbi.nlm.nih.gov/gene/?term=16542
Kit	Kit	KIT proto-oncogene receptor tyrosine kinase	16590	0.388657655	https://www.ncbi.nlm.nih.gov/gene/?term=16590
Kitl	Kitl	kit ligand	17311	-0.536032612	https://www.ncbi.nlm.nih.gov/gene/?term=17311
Klf2	Klf2	Kruppel-like factor 2 (lung)	16598	-0.412192324	https://www.ncbi.nlm.nih.gov/gene/?term=16598
Klf4	Klf4	Kruppel-like factor 4 (gut)	16600	-0.586238573	https://www.ncbi.nlm.nih.gov/gene/?term=16600
Klf9	Klf9	Kruppel-like factor 9	16601	-0.589544986	https://www.ncbi.nlm.nih.gov/gene/?term=16601
Klhl24	Klhl24	kelch-like 24	75785	-0.554036298	https://www.ncbi.nlm.nih.gov/gene/?term=75785
Kmt2e	Kmt2e	lysine (K)-specific methyltransferase 2E	69188	-0.469614954	https://www.ncbi.nlm.nih.gov/gene/?term=69188
Krtcap2	Krtcap2	keratinocyte associated protein 2	66059	0.451316356	https://www.ncbi.nlm.nih.gov/gene/?term=66059
Lama4	Lama4	laminin, alpha 4	16775	0.286543774	https://www.ncbi.nlm.nih.gov/gene/?term=16775
Lamc1	Lamc1	laminin, gamma 1	226519	0.380269674	https://www.ncbi.nlm.nih.gov/gene/?term=226519
Lars2	Lars2	leucyl-tRNA synthetase, mitochondrial	102436	-0.477188176	https://www.ncbi.nlm.nih.gov/gene/?term=102436
Lcn2	Lcn2	lipocalin 2	16819	4.739056306	https://www.ncbi.nlm.nih.gov/gene/?term=16819
